X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE
772571.12686038,2956874.02969128,615,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GROVE,CAMBRIDGE ST,1,,-71.0693,42.361007,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772607.063005239,2956876.03332497,616,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GROVE,CAMBRIDGE ST,1,,-71.069167,42.361012,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772625.711342275,2956876.12752667,617,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GROVE,CAMBRIDGE ST,1,,-71.069098,42.361012,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772880.531350449,2956885.43369716,618,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,STRON,CAMBRIDGE ST,1,,-71.068155,42.361034,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772901.067848712,2956886.26653963,619,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,STRON,CAMBRIDGE ST,1,,-71.068079,42.361036,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772938.645847544,2956884.27028415,620,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,STRON,CAMBRIDGE ST,1,,-71.06794,42.36103,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
773091.307126343,2956892.69710146,621,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ANDE,CAMBRIDGE ST,1,,-71.067375,42.361051,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,81,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
773112.38599129,2956893.16845405,622,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ANDE,CAMBRIDGE ST,1,,-71.067297,42.361052,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
773154.536321342,2956895.56889611,623,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ANDE,CAMBRIDGE ST,1,,-71.067141,42.361058,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
773906.329334944,2956916.16012004,624,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,HANC,CAMBRIDGE ST,1,,-71.064359,42.361104,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,83,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
